{},alpha,beta,gamma,det,phi,n
E,0,0,0,1,0,"RowBox[{ {, RowBox[{ 0 , , ,  0 , , ,  0 }], } }]"
"Subscript[""C"", ""4""]",Pi/2,0,0,1,Pi/2,"RowBox[{ {, RowBox[{ 0 , , ,  0 , , ,  1 }], } }]"
"Subsuperscript[""C"", ""4"", ""3""]",-Pi/2,0,0,1,Pi/2,"RowBox[{ {, RowBox[{ 0 , , ,  0 , , , RowBox[{ - ,  1 }]}], } }]"
"Subscript[""C"", ""2""]",Pi,0,0,1,Pi,"RowBox[{ {, RowBox[{ 0 , , ,  0 , , , RowBox[{ - ,  1 }]}], } }]"
"Subsuperscript[""C"", ""2"", ""x""]",Pi,Pi,0,1,Pi,"RowBox[{ {, RowBox[{RowBox[{ - ,  1 }], , ,  0 , , ,  0 }], } }]"
"Subsuperscript[""C"", ""2"", ""y""]",0,Pi,0,1,Pi,"RowBox[{ {, RowBox[{ 0 , , , RowBox[{ - ,  1 }], , ,  0 }], } }]"
"Subsuperscript[""C"", ""2"", ""x+y""]",-Pi/2,Pi,0,1,Pi,"RowBox[{ {, RowBox[{RowBox[{ - , FractionBox[ 1 , SqrtBox[ 2 ]]}], , , RowBox[{ - , FractionBox[ 1 , SqrtBox[ 2 ]]}], , ,  0 }], } }]"
"Subsuperscript[""C"", ""2"", ""x-y""]",Pi/2,Pi,0,1,Pi,"RowBox[{ {, RowBox[{RowBox[{ - , FractionBox[ 1 , SqrtBox[ 2 ]]}], , , FractionBox[ 1 , SqrtBox[ 2 ]], , ,  0 }], } }]"
inv,0,0,0,-1,0,"RowBox[{ {, RowBox[{ 0 , , ,  0 , , ,  0 }], } }]"
"Subscript[""S"", ""4""]",-Pi/2,0,0,-1,Pi/2,"RowBox[{ {, RowBox[{ 0 , , ,  0 , , ,  1 }], } }]"
"Subsuperscript[""S"", ""4"", ""3""]",Pi/2,0,0,-1,Pi/2,"RowBox[{ {, RowBox[{ 0 , , ,  0 , , , RowBox[{ - ,  1 }]}], } }]"
"Subscript[""σ"", ""h""]",Pi,0,0,-1,Pi,"RowBox[{ {, RowBox[{ 0 , , ,  0 , , , RowBox[{ - ,  1 }]}], } }]"
"Subsuperscript[""σ"", ""v"", ""x""]",Pi,Pi,0,-1,Pi,"RowBox[{ {, RowBox[{RowBox[{ - ,  1 }], , ,  0 , , ,  0 }], } }]"
"Subsuperscript[""σ"", ""v"", ""y""]",0,Pi,0,-1,Pi,"RowBox[{ {, RowBox[{ 0 , , , RowBox[{ - ,  1 }], , ,  0 }], } }]"
"Subscript[""σ"", ""da""]",Pi/2,Pi,0,-1,Pi,"RowBox[{ {, RowBox[{RowBox[{ - , FractionBox[ 1 , SqrtBox[ 2 ]]}], , , FractionBox[ 1 , SqrtBox[ 2 ]], , ,  0 }], } }]"
"Subscript[""σ"", ""db""]",-Pi/2,Pi,0,-1,Pi,"RowBox[{ {, RowBox[{RowBox[{ - , FractionBox[ 1 , SqrtBox[ 2 ]]}], , , RowBox[{ - , FractionBox[ 1 , SqrtBox[ 2 ]]}], , ,  0 }], } }]"
