{},alpha,beta,gamma,det,phi,n
E,0,0,0,1,0,"RowBox[{ {, RowBox[{ 0 , , ,  0 , , ,  0 }], } }]"
"Subscript[""C"", ""3""]",(2*Pi)/3,0,0,1,(2*Pi)/3,"RowBox[{ {, RowBox[{ 0 , , ,  0 , , ,  1 }], } }]"
"Subsuperscript[""C"", ""3"", ""2""]",(-2*Pi)/3,0,0,1,(2*Pi)/3,"RowBox[{ {, RowBox[{ 0 , , ,  0 , , , RowBox[{ - ,  1 }]}], } }]"
"Subsuperscript[""C"", ""2a"", ""'""]",Pi,Pi,0,1,Pi,"RowBox[{ {, RowBox[{RowBox[{ - ,  1 }], , ,  0 , , ,  0 }], } }]"
"Subsuperscript[""C"", ""2b"", ""'""]",Pi/3,Pi,0,1,Pi,"RowBox[{ {, RowBox[{RowBox[{ - , FractionBox[ 1 ,  2 ]}], , , FractionBox[SqrtBox[ 3 ],  2 ], , ,  0 }], } }]"
"Subsuperscript[""C"", ""2c"", ""'""]",-Pi/3,Pi,0,1,Pi,"RowBox[{ {, RowBox[{RowBox[{ - , FractionBox[ 1 ,  2 ]}], , , RowBox[{ - , FractionBox[SqrtBox[ 3 ],  2 ]}], , ,  0 }], } }]"
inv,0,0,0,-1,0,"RowBox[{ {, RowBox[{ 0 , , ,  0 , , ,  0 }], } }]"
"Subscript[""S"", ""6""]",(-2*Pi)/3,0,0,-1,(2*Pi)/3,"RowBox[{ {, RowBox[{ 0 , , ,  0 , , ,  1 }], } }]"
"Subsuperscript[""S"", ""6"", ""5""]",(2*Pi)/3,0,0,-1,(2*Pi)/3,"RowBox[{ {, RowBox[{ 0 , , ,  0 , , , RowBox[{ - ,  1 }]}], } }]"
"Subsuperscript[""σ"", ""da"", ""'""]",Pi,Pi,0,-1,Pi,"RowBox[{ {, RowBox[{RowBox[{ - ,  1 }], , ,  0 , , ,  0 }], } }]"
"Subsuperscript[""σ"", ""db"", ""'""]",Pi/3,Pi,0,-1,Pi,"RowBox[{ {, RowBox[{RowBox[{ - , FractionBox[ 1 ,  2 ]}], , , FractionBox[SqrtBox[ 3 ],  2 ], , ,  0 }], } }]"
"Subsuperscript[""σ"", ""dc"", ""'""]",-Pi/3,Pi,0,-1,Pi,"RowBox[{ {, RowBox[{RowBox[{ - , FractionBox[ 1 ,  2 ]}], , , RowBox[{ - , FractionBox[SqrtBox[ 3 ],  2 ]}], , ,  0 }], } }]"
